"timestamp","lat","lon","alt","lat_err","lon_error","alt_error"
"1514566207.3386323","39.782690539","-84.083067027","319.691","2.594","2.727","7.724"
"1514566208.341527","39.782690539","-84.083067027","319.691","2.594","2.727","7.724"
"1514566209.3443115","39.782690539","-84.083067027","319.691","2.594","2.727","7.724"
"1514566210.3468013","39.782689945","-84.083055416","319.77","2.594","2.727","7.724"
"1514566211.3503256","39.782689945","-84.083055416","319.77","2.594","2.727","7.724"
"1514566197.298045","39.782711895","-84.083100656","319.968","2.594","2.727","7.724"
"1514566198.3020043","39.782711895","-84.083100656","319.968","2.594","2.727","7.724"
"1514566199.3054214","39.782711895","-84.083100656","319.968","2.594","2.727","7.724"
"1514566200.3087783","39.782711895","-84.083100656","319.968","2.594","2.727","7.724"
"1514566201.312152","39.782711895","-84.083100656","319.968","2.594","2.727","7.724"
"1514566202.3150778","39.782711895","-84.083100656","319.968","2.594","2.727","7.724"
"1514566203.317279","39.782711895","-84.083100656","319.968","2.594","2.727","7.724"
"1514566204.3204415","39.782711895","-84.083100656","319.968","2.594","2.727","7.724"
"1514566205.3318238","39.782705569","-84.083090249","320.812","2.594","2.727","7.724"
"1514566206.3354056","39.782705569","-84.083090249","320.812","2.594","2.727","7.724"
