"timestamp","lat","lon","alt","lat_err","lon_error","alt_error"
"1515805824.5237737","39.78261909","-84.082655412","299.525","16.357","14.243","105.108"
"1515805825.5295768","39.78261909","-84.082655412","299.525","16.357","14.243","105.108"
"1515805826.5338805","39.78261909","-84.082655412","299.525","16.357","14.243","105.108"
"1515805827.5380812","39.78261909","-84.082655412","299.525","16.357","14.243","105.108"
"1515805828.542354","39.78261909","-84.082655412","299.525","16.357","14.243","105.108"
"1515805829.5463717","39.782619684","-84.082667023","299.446","16.357","14.243","105.108"
"1515805830.5502384","39.782613952","-84.082668226","300.21","16.357","14.243","105.108"
"1515805831.5543356","39.782613952","-84.082668226","300.21","16.357","14.243","105.108"
"1515805832.5615737","39.782621467","-84.082679837","300.771","16.357","14.243","105.108"
"1515805833.5671887","39.782622061","-84.082691448","300.692","16.357","14.243","105.108"
"1515805834.5731308","39.782622061","-84.082691448","300.692","16.357","14.243","105.108"
"1515805835.5782502","39.782610002","-84.082704262","300.737","16.357","14.243","105.108"
"1515805836.5819812","39.782610002","-84.082704262","300.737","16.357","14.243","105.108"
"1515805837.5858269","39.782610002","-84.082704262","300.737","16.357","14.243","105.108"
"1515805838.58963","39.782610596","-84.082715873","300.658","16.357","14.243","105.108"
"1515805839.5935135","39.782610596","-84.082715873","300.658","16.357","14.243","105.108"
"1515805840.5966923","39.782610596","-84.082715873","300.658","16.357","14.243","105.108"
"1515805841.600303","39.782610002","-84.082704262","300.737","16.357","14.243","105.108"
"1515805842.6045024","39.782610596","-84.082715873","300.658","16.357","14.243","105.108"
"1515805843.608152","39.782610596","-84.082715873","300.658","16.357","14.243","105.108"
