"timestamp","lat","lon","alt","lat_err","lon_error","alt_error"
"1510863935.5161169","39.782620138","-84.08310986","308.762","3.1","2.119","7.474"
"1510863936.51932","39.782620138","-84.08310986","308.762","3.1","2.119","7.474"
"1510863937.5227964","39.782620138","-84.08310986","308.762","3.1","2.119","7.474"
"1510863938.5260706","39.782620138","-84.08310986","308.762","3.1","2.119","7.474"
"1510863939.529553","39.782620138","-84.08310986","308.762","3.1","2.119","7.474"
"1510863940.532654","39.782620138","-84.08310986","308.762","3.1","2.119","7.474"
"1510863941.536173","39.782620138","-84.08310986","308.762","3.1","2.119","7.474"
"1510863942.5394478","39.782620138","-84.08310986","308.762","3.1","2.119","7.474"
"1510863933.5094895","39.782620138","-84.08310986","308.762","3.1","2.119","7.474"
"1510863934.5128098","39.782620138","-84.08310986","308.762","3.1","2.119","7.474"
