"test","pass","duration","hop-rate","timestamp","bssid","ssi","channel","bearing","lat","lon","alt","lat_err","lon_error","alt_error"
"discovery-hop-0.11264","10","10","0.11264","1510871557.836663","00:18:e7:e9:07:f5","-57","2422","5.152233432576233","39.782620284000004","-84.08306557060001","304.05460000000005","0.0","0.0","0.0"
"discovery-hop-0.11264","10","10","0.11264","1510871558.634607","60:38:e0:06:34:e8","-69","2442","33.880167846616644","39.782620284000004","-84.08306557060001","304.05460000000005","0.0","0.0","0.0"
"discovery-hop-0.11264","10","10","0.11264","1510871558.787984","60:38:e0:06:34:ac","-51","2447","39.40210770593443","39.782620284000004","-84.08306557060001","304.05460000000005","0.0","0.0","0.0"
"discovery-hop-0.11264","10","10","0.11264","1510871558.947837","60:38:e0:06:3a:f0","-63","2452","45.15721385756042","39.782620284000004","-84.08306557060001","304.05460000000005","0.0","0.0","0.0"
"discovery-hop-0.11264","10","10","0.11264","1510871559.784005","00:18:e7:e9:07:f5","-59","2417","75.2612963468268","39.782620284000004","-84.08306557060001","304.05460000000005","0.0","0.0","0.0"
"discovery-hop-0.11264","10","10","0.11264","1510871559.916792","00:12:17:9f:79:b6","-63","2422","80.04195211677121","39.782620284000004","-84.08306557060001","304.05460000000005","0.0","0.0","0.0"
"discovery-hop-0.11264","10","10","0.11264","1510871560.30749","60:38:e0:06:2d:9c","-73","2432","94.10804088755332","39.782620284000004","-84.08306557060001","304.05460000000005","0.0","0.0","0.0"
"discovery-hop-0.11264","10","10","0.11264","1510871560.887292","60:38:e0:06:34:e8","-49","2447","114.98232101728853","39.782620284000004","-84.08306557060001","304.05460000000005","0.0","0.0","0.0"
"discovery-hop-0.11264","10","10","0.11264","1510871560.938345","60:38:e0:06:34:ac","-55","2447","116.82035534597883","39.782620284000004","-84.08306557060001","304.05460000000005","0.0","0.0","0.0"
"discovery-hop-0.11264","10","10","0.11264","1510871561.245579","60:38:e0:06:34:ac","-63","2457","127.88153112112305","39.782620284000004","-84.08306557060001","304.05460000000005","0.0","0.0","0.0"
"discovery-hop-0.11264","10","10","0.11264","1510871561.830185","00:18:e7:e9:07:f5","-47","2417","148.92877181594477","39.782620284000004","-84.08306557060001","304.05460000000005","0.0","0.0","0.0"
"discovery-hop-0.11264","10","10","0.11264","1510871561.932646","00:18:e7:e9:07:f5","-45","2417","152.61762152947497","39.782620284000004","-84.08306557060001","304.05460000000005","0.0","0.0","0.0"
"discovery-hop-0.11264","10","10","0.11264","1510871562.067178","00:12:17:9f:79:b6","-59","2422","157.46110104015727","39.782620284000004","-84.08306557060001","304.05460000000005","0.0","0.0","0.0"
"discovery-hop-0.11264","10","10","0.11264","1510871562.832823","60:38:e0:06:34:e8","-47","2442","185.02619110316033","39.782620284000004","-84.08306557060001","304.05460000000005","0.0","0.0","0.0"
"discovery-hop-0.11264","10","10","0.11264","1510871563.037671","60:38:e0:06:34:e8","-43","2447","192.40122101479926","39.782620284000004","-84.08306557060001","304.05460000000005","0.0","0.0","0.0"
"discovery-hop-0.11264","10","10","0.11264","1510871563.248528","60:38:e0:06:3a:f0","-65","2452","199.9925846793849","39.782620284000004","-84.08306557060001","304.05460000000005","0.0","0.0","0.0"
"discovery-hop-0.11264","10","10","0.11264","1510871563.98063","00:18:e7:e9:07:f5","-51","2417","226.3500409010964","39.782620284000004","-84.08306557060001","304.05460000000005","0.0","0.0","0.0"
"discovery-hop-0.11264","10","10","0.11264","1510871564.185335","00:18:e7:e9:07:f5","-55","2422","233.71992062221167","39.782620284000004","-84.08306557060001","304.05460000000005","0.0","0.0","0.0"
"discovery-hop-0.11264","10","10","0.11264","1510871564.325008","00:16:b6:58:f3:0d","-65","2427","238.74848939666379","39.782620284000004","-84.08306557060001","304.05460000000005","0.0","0.0","0.0"
"discovery-hop-0.11264","10","10","0.11264","1510871564.880821","60:38:e0:06:34:e8","-51","2442","258.75911691018325","39.782620284000004","-84.08306557060001","304.05460000000005","0.0","0.0","0.0"
"discovery-hop-0.11264","10","10","0.11264","1510871565.136664","60:38:e0:06:34:ac","-55","2447","267.9700867396996","39.782620284000004","-84.08306557060001","304.05460000000005","0.0","0.0","0.0"
"discovery-hop-0.11264","10","10","0.11264","1510871565.29653","60:38:e0:06:3a:f0","-65","2452","273.7256564084727","39.782620284000004","-84.08306557060001","304.05460000000005","0.0","0.0","0.0"
"discovery-hop-0.11264","10","10","0.11264","1510871566.028507","00:18:e7:e9:07:f5","-51","2417","300.0786147971269","39.782620284000004","-84.08306557060001","304.05460000000005","0.0","0.0","0.0"
"discovery-hop-0.11264","10","10","0.11264","1510871566.265531","00:12:17:9f:79:b6","-59","2422","308.61205989595277","39.782620284000004","-84.08306557060001","304.05460000000005","0.0","0.0","0.0"
"discovery-hop-0.11264","10","10","0.11264","1510871566.656201","60:38:e0:06:2d:9c","-61","2432","322.67712721228105","39.782620284000004","-84.08306557060001","304.05460000000005","0.0","0.0","0.0"
"discovery-hop-0.11264","10","10","0.11264","1510871566.681852","00:16:b6:58:f3:0d","-55","2432","323.6006336260327","39.782620284000004","-84.08306557060001","304.05460000000005","0.0","0.0","0.0"
"discovery-hop-0.11264","10","10","0.11264","1510871566.865873","60:38:e0:06:3a:d8","-47","2437","330.2258387156798","39.782620284000004","-84.08306557060001","304.05460000000005","0.0","0.0","0.0"
