"test","pass","duration","hop-rate","timestamp","bssid","ssi","channel","bearing","lat","lon","alt","lat_err","lon_error","alt_error"
"discovery-hop-0.03072","10","10","0.03072","1510870284.268082","60:38:e0:06:3a:f0","-61","2452","29.47419807402335","39.78261322000001","-84.083043805","312.81","0.0","0.0","0.0"
"discovery-hop-0.03072","10","10","0.03072","1510870286.022076","00:18:e7:e9:07:f5","-59","2417","92.62213700051596","39.78261322000001","-84.083043805","312.81","0.0","0.0","0.0"
"discovery-hop-0.03072","10","10","0.03072","1510870286.34246","60:38:e0:06:2d:9c","-73","2432","104.1567209374854","39.78261322000001","-84.083043805","312.81","0.0","0.0","0.0"
"discovery-hop-0.03072","10","10","0.03072","1510870286.543818","60:38:e0:06:34:e8","-49","2442","111.4060888482385","39.78261322000001","-84.083043805","312.81","0.0","0.0","0.0"
"discovery-hop-0.03072","10","10","0.03072","1510870286.665925","60:38:e0:06:34:ac","-55","2447","115.80223117251482","39.78261322000001","-84.083043805","312.81","0.0","0.0","0.0"
"discovery-hop-0.03072","10","10","0.03072","1510870286.938087","1c:7e:e5:30:57:4e","-53","2457","125.60070652842566","39.78261322000001","-84.083043805","312.81","0.0","0.0","0.0"
"discovery-hop-0.03072","10","10","0.03072","1510870287.157648","00:18:e7:e9:04:59","-53","2412","133.50542628709204","39.78261322000001","-84.083043805","312.81","0.0","0.0","0.0"
"discovery-hop-0.03072","10","10","0.03072","1510870287.380126","00:12:17:9f:79:b6","-57","2422","141.51515822021216","39.78261322000001","-84.083043805","312.81","0.0","0.0","0.0"
"discovery-hop-0.03072","10","10","0.03072","1510870287.478433","00:12:17:9f:79:b6","-55","2427","145.05443931227927","39.78261322000001","-84.083043805","312.81","0.0","0.0","0.0"
"discovery-hop-0.03072","10","10","0.03072","1510870287.844657","60:38:e0:06:34:e8","-43","2442","158.23937274620008","39.78261322000001","-84.083043805","312.81","0.0","0.0","0.0"
"discovery-hop-0.03072","10","10","0.03072","1510870288.09954","60:38:e0:06:34:ac","-51","2452","167.41576641834533","39.78261322000001","-84.083043805","312.81","0.0","0.0","0.0"
"discovery-hop-0.03072","10","10","0.03072","1510870289.22598","60:38:e0:06:34:ac","-49","2447","207.9702767840367","39.78261322000001","-84.083043805","312.81","0.0","0.0","0.0"
"discovery-hop-0.03072","10","10","0.03072","1510870289.810917","00:18:e7:e9:07:f5","-55","2417","229.0293894079868","39.78261322000001","-84.083043805","312.81","0.0","0.0","0.0"
"discovery-hop-0.03072","10","10","0.03072","1510870291.039657","00:18:e7:e9:07:f5","-55","2417","273.26694814626893","39.78261322000001","-84.083043805","312.81","0.0","0.0","0.0"
"discovery-hop-0.03072","10","10","0.03072","1510870291.164937","00:12:17:9f:79:b6","-61","2422","277.77732146757245","39.78261322000001","-84.083043805","312.81","0.0","0.0","0.0"
"discovery-hop-0.03072","10","10","0.03072","1510870291.633575","60:38:e0:06:34:e8","-49","2442","294.64939766734983","39.78261322000001","-84.083043805","312.81","0.0","0.0","0.0"
"discovery-hop-0.03072","10","10","0.03072","1510870291.845714","60:38:e0:06:3a:f0","-57","2452","302.28690890952566","39.78261322000001","-84.083043805","312.81","0.0","0.0","0.0"
"discovery-hop-0.03072","10","10","0.03072","1510870292.176463","00:18:e7:e9:04:59","-69","2412","314.1946491535107","39.78261322000001","-84.083043805","312.81","0.0","0.0","0.0"
"discovery-hop-0.03072","10","10","0.03072","1510870292.393746","00:12:17:9f:79:b6","-55","2422","322.01735229235476","39.78261322000001","-84.083043805","312.81","0.0","0.0","0.0"
"discovery-hop-0.03072","10","10","0.03072","1510870293.702103","00:18:e7:e9:07:f5","-61","2417","369.12130391118035","39.78261322000001","-84.083043805","312.81","0.0","0.0","0.0"
"discovery-hop-0.03072","10","10","0.03072","1510870294.009288","00:18:e7:e9:07:f5","-53","2417","380.1806978875677","39.78261322000001","-84.083043805","312.81","0.0","0.0","0.0"
