"test","pass","duration","hop-rate","timestamp","bssid","ssi","channel","bearing","lat","lon","alt","lat_err","lon_error","alt_error"
"discovery-hop-0.13312","24","10","0.13312","1510872180.366696","00:16:b6:58:f3:0d","-59","2427","14.309186634198191","39.782631986000005","-84.083067808","302.4940000000001","0.0","0.0","0.0"
"discovery-hop-0.13312","24","10","0.13312","1510872180.914992","60:38:e0:06:34:e8","-43","2442","34.049201040434504","39.782631986000005","-84.083067808","302.4940000000001","0.0","0.0","0.0"
"discovery-hop-0.13312","24","10","0.13312","1510872181.019354","60:38:e0:06:34:e8","-45","2442","37.806490531631134","39.782631986000005","-84.083067808","302.4940000000001","0.0","0.0","0.0"
"discovery-hop-0.13312","24","10","0.13312","1510872181.171322","60:38:e0:06:34:ac","-53","2447","43.27771298971845","39.782631986000005","-84.083067808","302.4940000000001","0.0","0.0","0.0"
"discovery-hop-0.13312","24","10","0.13312","1510872181.330055","60:38:e0:06:3a:f0","-63","2452","48.992488108655735","39.782631986000005","-84.083067808","302.4940000000001","0.0","0.0","0.0"
"discovery-hop-0.13312","24","10","0.13312","1510872181.432404","60:38:e0:06:3a:f0","-63","2452","52.677305790606","39.782631986000005","-84.083067808","302.4940000000001","0.0","0.0","0.0"
"discovery-hop-0.13312","24","10","0.13312","1510872181.656262","1c:7e:e5:30:57:4e","-69","2457","60.73674093357276","39.782631986000005","-84.083067808","302.4940000000001","0.0","0.0","0.0"
"discovery-hop-0.13312","24","10","0.13312","1510872181.974751","00:18:e7:e9:04:59","-67","2412","72.20313222383218","39.782631986000005","-84.083067808","302.4940000000001","0.0","0.0","0.0"
"discovery-hop-0.13312","24","10","0.13312","1510872182.074586","00:18:e7:e9:04:59","-71","2412","75.7974352512162","39.782631986000005","-84.083067808","302.4940000000001","0.0","0.0","0.0"
"discovery-hop-0.13312","24","10","0.13312","1510872182.267795","00:18:e7:e9:07:f5","-57","2417","82.75344139043786","39.782631986000005","-84.083067808","302.4940000000001","0.0","0.0","0.0"
"discovery-hop-0.13312","24","10","0.13312","1510872182.407001","00:12:17:9f:79:b6","-65","2422","87.76519789977007","39.782631986000005","-84.083067808","302.4940000000001","0.0","0.0","0.0"
"discovery-hop-0.13312","24","10","0.13312","1510872183.270206","60:38:e0:06:34:e8","-49","2442","118.84270283119977","39.782631986000005","-84.083067808","302.4940000000001","0.0","0.0","0.0"
"discovery-hop-0.13312","24","10","0.13312","1510872183.474993","60:38:e0:06:34:e8","-49","2447","126.21553989886068","39.782631986000005","-84.083067808","302.4940000000001","0.0","0.0","0.0"
