"timestamp","lat","lon","alt","lat_err","lon_error","alt_error"
"1510863135.7160368","39.782631391","-84.083078215","301.01","3.1","2.119","7.474"
"1510863136.7196684","39.782631391","-84.083078215","301.01","3.1","2.119","7.474"
"1510863137.7231224","39.782631391","-84.083078215","301.01","3.1","2.119","7.474"
"1510863138.7264109","39.782631391","-84.083078215","301.01","3.1","2.119","7.474"
"1510863139.7290778","39.782631391","-84.083078215","301.01","3.1","2.119","7.474"
"1510863140.7324564","39.782631391","-84.083078215","301.01","3.1","2.119","7.474"
"1510863131.705313","39.782631391","-84.083078215","301.01","3.1","2.119","7.474"
"1510863132.7078202","39.782631391","-84.083078215","301.01","3.1","2.119","7.474"
"1510863133.7104094","39.782631391","-84.083078215","301.01","3.1","2.119","7.474"
"1510863134.7128582","39.782631391","-84.083078215","301.01","3.1","2.119","7.474"
